,0,1,2,3,4
489,1.6,3.65,3.55,3.5,3.3
490,3.0,3.0,3.0,3.0,3.0
491,3.0,3.05,3.0,3.25,3.35
492,2.5,3.95,3.55,3.85,3.85
493,2.4,3.7,3.4,3.75,3.0
494,1.5,3.7,3.85,2.9,4.05
495,3.0,3.75,3.75,3.7,3.5
496,1.85,3.85,3.35,3.7,4.25
497,1.75,3.65,3.2,3.95,2.5
498,3.05,3.55,3.55,3.1,3.5
499,3.0,4.1,3.95,4.15,4.0
500,1.6,3.8,3.25,3.6,4.1
501,1.5,3.0,2.95,3.2,3.35
502,2.4,2.05,2.95,2.95,3.3
503,3.0,3.0,3.0,3.0,3.0
504,2.0,3.3,4.1,3.5,4.5
505,2.9,3.15,3.0,2.75,3.25
506,2.85,3.05,3.3,3.25,3.0
507,3.0,3.0,3.0,3.0,3.5
508,2.6,3.7,3.9,3.9,3.85
509,2.1,2.8,3.55,3.4,3.3
510,1.7,2.75,2.9,2.3,3.75
511,1.7,4.0,4.1,4.0,4.05
512,1.8,3.75,4.15,3.8,3.6
513,2.2,2.95,3.2,2.95,3.55
514,1.7,2.9,4.1,3.15,3.4
515,2.1,3.65,3.5,3.5,3.15
516,2.65,3.3,2.55,2.8,2.65
517,2.4,3.4,3.35,3.4,3.9
518,2.4,2.5,2.95,3.05,2.6
519,2.9,3.1,3.1,3.15,3.45
520,1.95,3.2,2.9,2.95,2.85
521,2.05,3.05,3.55,3.0,3.6
522,2.7,2.95,4.1,3.2,3.7
523,2.4,3.45,3.45,3.4,3.5
524,3.0,3.0,4.05,2.85,4.2
525,2.2,3.65,3.9,3.95,3.9
526,1.6,3.65,3.85,3.55,3.45
527,2.85,2.7,2.7,3.2,3.15
528,3.0,2.8,3.2,3.15,2.7
529,1.5,2.95,3.45,3.45,3.4
530,3.0,3.05,3.05,3.0,3.05
531,2.25,3.45,3.35,4.15,3.5
532,3.65,4.2,4.4,4.1,4.25
533,1.6,3.95,3.55,4.1,4.0
534,2.25,3.35,3.85,4.15,4.05
535,2.0,4.2,4.55,2.0,4.35
536,2.4,3.75,4.4,3.95,4.1
537,1.7,3.95,4.4,4.05,4.4
538,3.2,3.45,3.9,2.55,3.55
539,2.4,3.45,3.55,3.2,3.55
540,3.2,3.15,3.4,3.05,3.35
541,3.0,3.2,3.15,3.0,3.45
542,2.15,2.45,4.1,2.6,3.5
543,2.05,4.1,3.25,3.85,3.65
544,3.1,3.2,3.15,2.95,3.6
545,2.0,2.4,2.45,2.7,2.65
546,3.0,3.05,3.05,3.25,3.05
547,1.9,3.7,3.95,3.6,4.0
548,2.1,3.4,3.75,3.65,3.6
549,2.75,3.25,3.25,2.95,3.3
550,2.2,2.95,3.65,3.1,4.05
551,2.1,2.8,2.8,3.0,3.1
552,4.2,4.4,3.75,4.2,4.3
553,2.2,3.0,4.0,4.15,4.15
554,3.0,2.9,3.2,3.15,2.8
555,2.25,4.6,4.45,4.55,4.55
556,2.95,4.1,4.35,4.15,4.35
557,2.2,3.55,2.6,3.8,3.9
558,2.4,3.4,3.4,3.9,3.8
559,2.8,3.4,3.15,3.6,3.35
